Gun,Toplam Vefat Sayisi,Toplam Vaka Sayisi,Toplam Iyilesen Hasta Sayisi
10-Mar,0,0,0
11-Mar,0,1,0
12-Mar,0,5,0
13-Mar,0,5,0
14-Mar,0,6,0
15-Mar,0,18,0
16-Mar,1,47,0
17-Mar,1,98,0
18-Mar,3,191,0
19-Mar,4,359,0
20-Mar,9,670,0
21-Mar,21,947,0
22-Mar,30,1236,0
23-Mar,37,1529,0
24-Mar,44,1872,26
25-Mar,59,2433,26
26-Mar,75,3629,26
27-Mar,92,5698,42
28-Mar,108,7402,70
29-Mar,131,9217,105
30-Mar,168,10827,162
31-Mar,214,13531,243
1-Nis,277,15679,333
2-Nis,356,18135,415
3-Nis,425,20921,484
4-Nis,501,23934,786
5-Nis,574,27069,1042
6-Nis,649,30217,1326
7-Nis,725,34109,1582
8-Nis,812,38226,1846
9-Nis,908,42282,2142
10-Nis,1006,47029,2423
11-Nis,1101,52168,2965
12-Nis,1198,56956,3446
13-Nis,1296,61049,3957
14-Nis,1403,65111,4799
15-Nis,1518,69392,5674
16-Nis,1643,74193,7089
17-Nis,1769,78546,8631
18-Nis,1890,82329,10453
19-Nis,2017,86306,11976
20-Nis,2140,90980,13430
21-Nis,2259,95591,14918
22-Nis,2376,98674,16477
23-Nis,2491,101720,18491
24-Nis,2600,104912,21737
25-Nis,2706,107773,25582
26-Nis,2805,110130,29140
27-Nis,2900,112261,33791
28-Nis,2992,114653,38809
29-Nis,3081,117589,44022
30-Nis,3174,120204,48886
1-May,3258,122392,53808
2-May,3336,124375,58259
3-May,3397,126045,63151
4-May,3461,127659,68166
5-May,3520,129491,73285
6-May,3584,131744,78202
7-May,3641,133721,82984
8-May,3689,135569,86396
9-May,3739,137115,89480
10-May,3786,138657,92691
11-May,3841,139771,95780
12-May,3894,141475,98889
13-May,3952,143114,101715
14-May,4007,144749,104030
15-May,4055,146457,106133
16-May,4096,148067,108137
17-May,4140,149435,109962
18-May,4171,150593,111577
19-May,4199,151615,112895
20-May,4222,152587,113987
21-May,4249,153548,114990
22-May,4276,154500,116111
23-May,4308,155686,117602
24-May,4340,156827,118694   